Frame,Time (s),Position
260,11.304347826086957,center
261,11.347826086956522,center
262,11.391304347826088,center
263,11.434782608695652,center
300,13.043478260869565,center
301,13.08695652173913,center
303,13.173913043478262,center
304,13.217391304347826,center
315,13.695652173913043,center
316,13.73913043478261,center
317,13.782608695652174,center
320,13.91304347826087,center
321,13.956521739130435,center
322,14.0,center
324,14.08695652173913,center
326,14.173913043478262,center
327,14.217391304347826,center
328,14.26086956521739,center
329,14.304347826086957,center
330,14.347826086956522,center
331,14.391304347826088,center
332,14.434782608695652,center
333,14.478260869565217,center
334,14.521739130434783,center
335,14.565217391304348,center
336,14.608695652173912,center
337,14.652173913043478,center
338,14.695652173913043,center
339,14.73913043478261,center
340,14.782608695652174,center
341,14.826086956521738,center
342,14.869565217391305,center
343,14.91304347826087,center
344,14.956521739130435,center
345,15.0,center
346,15.043478260869565,center
347,15.08695652173913,center
348,15.130434782608695,center
349,15.173913043478262,center
350,15.217391304347826,center
351,15.26086956521739,center
352,15.304347826086957,center
353,15.347826086956522,center
354,15.391304347826088,center
355,15.434782608695652,center
356,15.478260869565217,center
357,15.521739130434783,center
358,15.565217391304348,center
359,15.608695652173912,center
362,15.73913043478261,center
366,15.91304347826087,center
367,15.956521739130435,center
368,16.0,center
369,16.043478260869566,center
374,16.26086956521739,center
375,16.304347826086957,center
377,16.391304347826086,center
378,16.434782608695652,center
379,16.47826086956522,center
380,16.52173913043478,center
381,16.565217391304348,center
382,16.608695652173914,center
383,16.652173913043477,center
384,16.695652173913043,center
385,16.73913043478261,center
386,16.782608695652176,center
387,16.82608695652174,center
388,16.869565217391305,center
389,16.91304347826087,center
390,16.956521739130434,center
391,17.0,center
392,17.043478260869566,center
393,17.08695652173913,center
394,17.130434782608695,center
395,17.17391304347826,center
396,17.217391304347824,center
423,18.391304347826086,center
424,18.434782608695652,center
425,18.47826086956522,center
426,18.52173913043478,center
427,18.565217391304348,center
428,18.608695652173914,center
429,18.652173913043477,center
430,18.695652173913043,center
431,18.73913043478261,center
432,18.782608695652176,center
644,28.0,center
645,28.043478260869566,center
